track_id,pageviews
5bnMKUXkMfYVXW8FjvFTuV,20577.0
5Jno63iv0mzu5OZ28asYbE,61743.0
2E2ZVy2fxslpAUgbb4zu84,105987.0
4rAnSE0E0f33unxXsQa5Fr,40770.0
383Xl5QTigwj3QiA3Qc6S7,677420.0
4pmNJH9lNCh9Qp88L2CRJU,76137.0
4kRMsLX7bJqjIfK44qJ9h6,38092.0
08onVqQ8YicJ98Ycm1qoLf,44863.0
0RAn8LOs5QVMLy2xH30bUj,25151.0
5JKQMoGmXwDHCodn5pFVHB,218562.0
0PNt5WTw092eED0ru9SuIp,296975.0
5nN1jGnCadYk1jYm6oV5zN,65719.0
5dXED6MP1v1qghkaniirb1,33116.0
4ZExvJvQXPEeYzGU0N3THi,156118.0
7tJnjRY2js0yXtNUWE4fgF,139737.0
0lqNtjLgTJYScspOhJXxtx,59486.0
3PzsbWSQdLCKDLxn7YZfkM,1315584.0
7FwBtcecmlpc1sLySPXeGE,824903.0
1prZ0pr6XoRCxcrC3MCL0M,253525.0
4ReyTz0y3TGkX48wO3Llot,266829.0
6wP0zUocK5kGLaBYhLbzt5,215828.0
0aF9m87P8Tja3NUMv4DfHt,292205.0
4F2t297QK40XFcIHqkmLHs,11821.0
7kXM2obnaUVl014k00cdhF,42990.0
3aAuIvgJGdp4wWd60riWfB,65761.0
05qEqp4nB0pq0J5wHxH8hp,14840.0
1deZHQ9Na7bnWA9pulmlXD,397718.0
36iHMTOAr9S4y0WvuWQtvm,20296.0
4gpext9x0CbdD9NWaa4nDj,57620.0
13lYKkKAYEVCkGAyrFGZjF,33284.0
3cXiUuiGpFmZ8OdAWKk8Ck,118426.0
6i9dZZQWNB06HKsQYKTiPF,63432.0
1lbXEepatjRVjoG8pZMtdp,1823912.0
1wv8bYmoqY3TAKKQY3Qn7t,30765.0
57trQKFZdJxHia4sMJioWk,177451.0
1jL4dBrmBpkAwxiMFzHulz,6127.0
18AXbzPzBS8Y3AkgSxzJPb,28771.0
4P0uyibZjcXZLVeNOHBd8Q,20472.0
2VNfJpwdEQBLyXajaa6LWT,198740.0
1WeoeHh0TSzsApyJ6Q8OOK,132558.0
0hSs4vOZo1OkRiAOoLafrT,29544.0
3jYRpwbctfqB77uU7T7K3U,42174.0
5wXYuaDpzueI27xvHhM9nl,35917.0
5izGeTxueiFX1UPFGohY9w,48300.0
5GvWrvLIqoHroq7YvO260M,47790.0
6yl8Es1tCYD9WdSkeVLFw4,404917.0
5eaK7PLGwyDXmHfTdWZZuE,129746.0
7INi4pMPG4IE0Smx5y4KVf,102478.0
3fkPMWQ6cBNBLuFcPyMS8s,103036.0
4ebcE2SmkG7nplvzFAWRu7,61684.0
2rbcCco3PrSyMinVJdh61J,34065.0
5JwK7v6XhG0YgqDuCgzOy8,84073.0
7jwQlYGpOml9ETGre1HqGA,686218.0
7Ewz6bJ97vUqk5HdkvguFQ,1381229.0
4zEi4tr3lEhiAvTRxEzbEz,138857.0
1LFK84nUerBbYfFd1LmnTm,50867.0
0HzjKCZmFhwcO2vnnHpj9q,66250.0
4PJEK76V3A1S0XzZJuTWh7,145203.0
4AiMaeCXwsldpwvA5wu5gM,464165.0
3NWcFiL6oCEagrFiTdDr1m,220596.0
3MshXF4YQRoFw82plcsUge,17472.0
7zjSZQkMoGKylSq6s1rK9Y,22095.0
4sscDOZCkbLSlDqcCgUJnX,121255.0
3wfujdbamR3Z46F4xav7LM,830066.0
00MvqMP1NcFvj920whYg7Y,17283.0
5muVpPu8Fj9fXfDbbqDdrZ,136837.0
35E2eKIEXXnP5q9L51iOAk,192312.0
7CBFRsUz1pz1cS12soVhih,189952.0
4dDurgTN3eGyU0ghzFJ0T1,100092.0
1oCjUrtxUKNITywo5iztdt,21665.0
1brpdmqkx3kSxyqzqXfW7J,67790.0
4IT6vDuKprKl6jyVndlY8V,253968.0
0p5eZCY0R7uNCZS1YDtIYI,345030.0
4dk40nfaQav6b4ZsJ9OYUo,250825.0
3ckd4YA4LcD3j50rfIVwUe,180193.0
2APxH5XbOLDTmW9X5yi6Hw,31278.0
65G4Ib3w7tgLjUkO5GseN0,151007.0
43oPpqzWPSZmeiwYicmzjG,8179.0
5QRs63VVKNaqUjg6XSSckM,17720.0
1NCuYqMc8hKMb4cpNTcJbD,5646.0
2KCJYwlBWxdlwyIYckIf6V,99511.0
2HHtWyy5CgaQbC7XSoOb0e,665666.0
6JHXiRD1QjMK1N6AQEnL04,43527.0
2fZw0ya0oI4pXsjkB0NBHs,23989.0
5gaUkg5JNk8c4mr2jnpX8H,64395.0
6lRkdG1HurVS72F9GoBeWJ,28408.0
1gKmnrz6SzJlGMNRKBLx1V,224437.0
3xzRBn3ywzobJrc1efC7Sb,206445.0
4LcrHUkRmXG3c0YD5VYutn,19435.0
0TevBnk5pL8DEqKixmcgt9,26744.0
4hWUOIDHda9XOb1zDchftP,108190.0
5AoZknxgY6F25gAcVahO41,30517.0
7jZ4UZAmg006Qx3rVuF7JI,283781.0
6pVW5LRWgeLaHudxauOTJU,30517.0
01Q4wU19hamqnhNjtuvTyI,17043.0
7u0b4DthVvd2F2EzCiOx0Z,12860.0
0Jr2E3wJ8YM1nUisKw7teM,18730.0
0PdM2a6oIjqepoEfcJo0RO,15137.0
4DtB1PJsbl4KAb2rZVNCUL,31384.0
43thLwzSasUUZEYjYPeJh3,50363.0
0WapisGaQAkdtuGEJjWSC2,7896.0
19P4fwkPhE6yVAXApFWDoF,16097.0
7i0VrdLCDhvgWXfcT6EQJG,108959.0
2OMNQkVIgT0d6kMyVjum2K,8895.0
5arVt2Wg0zbiWwAOZef2Nl,19139.0
5JGdpqo9wrRtOZtui5GShI,27610.0
7cDzJyC95jtGO9zAeZsWOg,100661.0
2TIKWWCf6qAtVP6AGa7e9k,30517.0
7pzkpCkXfU99i4Bm5KG0oM,8718.0
6pwQEpLOlwclrsjgEOHEp0,14175.0
3kfXUGIdBNpyr2gBvU3Guj,47869.0
6ADSaE87h8Y3lccZlBJdXH,1302738.0
3MqgFVRerrpqWHdRopk247,18321.0
2x5IXUFOcvvBUtEpnCBNlp,82357.0
5gS8whHdcpbkdz0qonQZF8,105098.0
5LDZbklcDwQeeScf7dUlo4,6169.0
3Tows9RnoAq9CmMJaII2cO,6444.0
1CtAzw53AIXKjAemxy4b1j,7535.0
67eX1ovaHyVPUinMHeUtIM,101648.0
54b8qPFqYqIndfdxiLApea,379531.0
07nxmAxwhY51juyImllKD2,31513.0
62vx6uOYO7PrqKqKTKg9RY,104904.0
2nIDPfhjHZP8UOXPenLZUC,18978.0
3EEd6ldsPat620GVYMEhOP,109775.0
5oZ2YnJxTXl7CdJJKehPHR,53300.0
2JhJOPGvtqMpj5RQC8cIYf,98261.0
3cRt9j0q8JaJFfRmmrWz7x,6290.0
2rxePraWVAXyZRHVW1ICss,15221.0
1Tr4K5MU5XYE44umXGDndd,1287933.0
0qxYx4F3vm1AOnfux6dDxP,470468.0
0n3TDqqbs7epxzHUi3QbC5,64862.0
5jLq63jMFWg0dKHnht6YI0,71102.0
4mxkQkZSX1BWgIYh5Q2Jt9,47563.0
4yEMyaB6PGBpQvac2yD9wZ,13142.0
5tE2kEW1Jom3Qc93UPBT79,13170.0
1osAmhnIT0rtuqLZ1IliBQ,19139.0
4iQZi2sMZlbTpcUlo5YGBf,12785.0
1zm8Bs1jRnveMzryxIkH4s,103037.0
75zMKn5euxQdlkZgu4P42J,1050343.0
29wJiSQcze8HEmxkUQykyp,46938.0
7HrzErXq3TsKOY1gmdIShB,470454.0
5xGsNXXTu545MWoeuFfjxT,24329.0
2JhIaeltCDCcp02K936tgx,15866.0
15rjQH7nTcTomKwfVMd4xl,448302.0
5KXTDunEgNVBnuSBDzsm6x,20855.0
2ZS3jFe6p8UoVyrY5jWBlF,145538.0
2eRYuzlSOBk3HlMsCSOLPJ,429574.0
0Z9UkcT1pnrmLciUJPcMMS,121266.0
3RJof5CojqlbgZ5adHw50O,26818.0
50ZpPgU81payZxI2H7QXNM,22340.0
0tKjVEJlX3IZ5L1rEJc5hh,65725.0
2dEgwtRjYl6TJkIwjRwn6z,31578.0
5eMZ3EPIMGoWlrrVhxatdv,58894.0
58YL9Jo1T0wyijCOZWRmyL,100608.0
6BT7qiDY4A5tOyklohjQuW,178981.0
0yJvWbn8xQKiDZ84VN5lQG,78745.0
1YRiaGNPyP6YuH2FCutj3d,35253.0
24IdPCimVnJJDRuB5YSDiS,25389.0
4z8D58IC56O0JH2B818SkX,9895.0
0q1exbzIDRxqJ6VUKH3seg,203456.0
5RsUlxLto4NZbhJpqJbHfN,295961.0
5yma4EpKYJ4r6jXhebUzh2,8435.0
6kIwzLSiQU51taaaZ9zWSE,30517.0
5pKo2ed3oEdFFV5L8xUA04,64567.0
34sL4eaI8UKWOyYpCvoboU,110752.0
4Yhx8ZUgxmOVtlO8oIt3PW,7774.0
7pETV41GUutaZ6KMHMAYIH,182145.0
1wrT33b6HuKlpk9ziscEUY,30517.0
7q8ma1NaWeQfmO6zdvuuT6,17350.0
4nwUQZbmWMkYzKrXgWRIEw,28376.0
7Di7t9yGoxdZRLAt5a4pi0,341217.0
6dVtWB3ysjQVSS71GDig6L,12507.0
6GhDVvKUE1f0xg7hTv9eZN,44783.0
0X1sqQ652p1sceKM2nJlIJ,104753.0
6FRQGRdhueJGTKiYnirDNy,36426.0
4ZSDreApKOo6eQYFx9qXfD,138769.0
5UKeFkVeUfvP6S43I8s9mt,28617.0
4ZA0EXmjnZIYguEMf0Mc88,169151.0
3fbVtEI5leNfYKvL7FxDz1,6765.0
1MqGKtY9L5qjPi8s7gX645,121692.0
5TWPfkeN07aERO0Yn2D2t2,557808.0
2jxqu3v4AZAhUNvdAbDGet,117505.0
2oKOGvdJ5BQEiguaSQJJpc,30517.0
6ZSZQoRMIgetNOV3VK53o8,6421.0
6V50MyHPGhEmwYu0Wdyf0t,133186.0
5ynO8cYFjDwELIZfFHHeYe,105122.0
14g6foD6sxO1qgkDKuPgWv,19139.0
5ZY7Gug850kv4heJcWZGHM,10913.0
6ZAwEE4kTdtvyE66iRhFxR,22327.0
2t77hjgJY4sC9DoX5uaVUD,134801.0
11qmuUlW5q5diLiVSOlsSF,55340.0
66rdGSb6FMm0neFXxmJdPQ,18879.0
7KA6U0WOHdGxWWLGPYN2Sb,113897.0
3BSoskNONnjn05yRO2tYFX,51267.0
2MaBAGBIttgv86bYytdx1f,296532.0
1Bj6YgjjPbEb4jhQ50T8tJ,20885.0
1Wrzhfa5bNlqvsnCztz190,282360.0
2iXH35MhsqO5Ry8a7iptpJ,17868.0
1QQUZeG6qa90sPHIAuHbgj,28308.0
5WwqdeavrQrbeAMDxGawse,171336.0
49wHCjiu34kM3VRgumQ1tJ,18191.0
